"id","priority","master_attribute_id","plan_attribute_id"
"499",200,"509","723"
"500",200,"510","724"
"501",200,"511","725"
"502",200,"512","726"
"503",200,"513","727"
"504",200,"514","728"
"505",200,"515","729"
"506",200,"516","730"
"507",200,"517","731"
"508",200,"518","732"
"509",200,"519","733"
"510",200,"520","734"
"511",200,"521","735"
"512",200,"522","736"
"513",200,"523","737"
"514",200,"524","738"
"515",200,"525","739"
"516",200,"526","740"
"517",200,"527","741"
"518",200,"528","742"
"519",200,"529","746"
"520",200,"530","747"
"521",200,"531","748"
"522",200,"532","752"
"523",200,"533","753"
"524",200,"534","754"
"525",200,"535","755"
"526",200,"536","756"
"527",200,"537","757"
"528",200,"538","758"
"529",200,"539","759"
"530",200,"540","760"
"531",200,"541","761"
"532",200,"542","762"
"533",200,"543","763"
"534",200,"544","764"
"535",200,"545","765"
"536",200,"546","766"
"537",200,"547","767"
"538",200,"548","768"
"539",200,"549","769"
"540",200,"550","770"
"541",200,"551","771"
"542",200,"552","772"
"543",200,"553","773"
"544",200,"554","774"
"545",200,"555","775"
"546",200,"556","776"
"547",200,"557","777"
"548",200,"558","778"
"549",200,"559","779"
"550",200,"560","780"
"551",200,"561","781"
"552",200,"562","782"
"553",200,"563","783"
"554",200,"564","784"
"555",200,"565","785"
"556",200,"566","786"
"557",200,"567","787"
"558",200,"568","788"
"559",200,"569","789"
"560",200,"570","790"
"561",200,"571","791"
"562",200,"572","792"
"563",200,"573","793"
"564",200,"574","794"
"565",200,"575","795"
"566",200,"576","796"
"567",200,"577","800"
"568",200,"578","801"
"569",200,"579","802"
"570",200,"580","803"
"571",200,"581","804"
"572",200,"582","805"
"573",200,"583","806"
"574",200,"584","807"
"575",200,"585","808"
"576",200,"586","809"
"577",200,"587","810"
"578",200,"588","811"
"579",200,"589","812"
"580",200,"590","813"
"581",200,"591","814"
"582",200,"592","815"
"583",200,"593","816"
"584",200,"594","817"
"585",200,"595","818"
"586",200,"596","819"
"587",200,"597","820"
"588",200,"598","821"
"589",200,"599","822"
"590",200,"600","823"
"591",200,"601","824"
"592",200,"602","825"
"593",200,"603","826"
"594",200,"604","827"
"595",200,"605","828"
"596",200,"606","829"
"597",200,"607","834"
"598",200,"608","835"
"599",200,"609","836"
"600",200,"610","851"
"601",200,"611","852"
"602",200,"612","853"
"603",200,"613","854"
"604",200,"614","855"
"605",200,"615","856"
"606",200,"616","857"
"607",200,"617","858"
"608",200,"618","859"
"609",200,"619","860"
"610",200,"620","861"
"611",200,"621","862"
"612",200,"622","863"
"613",200,"623","864"
"614",200,"624","865"
"615",200,"625","866"
"616",200,"626","867"
"617",200,"627","868"
"618",200,"628","869"
"619",200,"629","870"
